id,text,level
223286,"14 из 15!
А про мой город - родина матрешки, православный Ватикан, подмосковный Сочи",0
1446484,"Ваши обложки действительно искусство, очень прикольное и современное. Спасибо за рассказ о Вас и Вашей работе! Я рада, что эта статья мне попалась как раз, когда есть время прочитать её вдумчиво и с удовольствием рассматривая картинки😊",0
1428630,"« Курс этой валюты относительно рубля часто меняется. Например, 10 марта 2022 года 1 THB ⁣стоил 4,1 Р, а 4 июля — 1,5 Р.»

Да да, именно этой валюты)) курс рубля к остальным валютам стабилен, как никогда!",0
1599971,"Сама волонтёрила в хосписе, нас вдохновил преподаватель по этике и деонтологии, сдавала кровь, учась в университете. Сейчас только периодически перечисляю деньги в приюты для животных. Фондам почему-то не доверяю, предпочитаю напрямую перечислять.",0
357848,"Честно говоря, в голову не приходило. Но я бы попыталась привести всё в цивильное русло, договорившись с ""точками"" и не столько для себя, сколько для нуждающихся.",0
1817141,">>В 2016 году мне снова стало хуже, будто я теряла силы

То есть после переезда в Швейцарию вам 10 лет было хорошо? Так это же самая замечательная терапия!",0
1858750,"заказал серебряные часы соколов а браслет к ним никак не получается может соколов не в курсе, если устроюсь креативным директором всех уволю за незнание предмета",0
1119507,"Здравствуйте, получаю с маткапитала путинские на второго ребёнка и с 3-7 на первого. Срок окончания пособий сентябрь 2023. Скажите, смогу я эти пособия продлить по старому? Или нужно будет подавать по новому?",0
1525140,"Блин, вот сколько читаю про ремонт, выигрыш от того что делаешь сам компенсируется ошибками и косяками от рабочих (за которыми не досмотрели). 
Автору сил, денег и лучи поддержки, Вы с мужем герои.",0
1547185,"Кошелек в сумке - это, имхо, непредусмотрительно. Украдут сумку - украдут и кошелёк.",0
1716507,"Что у вас с ногтями на ногах? Ногти, волосы -это маркеры здоровья. Щитовидку проверяли? Гормоны?",0
1095173,"Очень нужен минивен. Могу сама из Япони перегнать. Но ведь давно уже налог такой ввели, что перестали возить праворульные. Или отменилось что то? Сколько таможенный налог из Японии?",0
1932257,"из за того что у нас нет нормальной профориентации многие не знаю что делать, поэтому идут в 10-11 классы для доп времени. Парни идут в вуз, так как не хотят в армию. В колледж идут, так как не хотят учиться в школе",0
1669139,"Вместо первой Скарлет за эти же деньги есть модель мощнее - JE50S49, в онлайнтрейд забрал 20 ноября",0
1882507,"Вы написали, что снегири установили дресс-код - о чем речь? В смысле, что не надеваете к ним одежду, которую жалко? Или им какие-то цвета/текстуры очень не нравятся?",0
1421151,"То есть вы лежали, ждали, что кто-то вам напишет, но сами не написали?
А ваши коллеги ждали, что напишите вы.
И наверное имеют к вам такие же претензии. Типа ""свалила молча, не соизволила даже пару строк написать"".
Очень по-взрослому 👍",0
1308593,"про Ниссан чушь пишете, 330 000 пробега моему Кашкаю английской сборки на вариаторе, полет нормальный!",0
1150355,"10 вопрос
>it costed me a pretty penny, то есть «вышло в копеечку»
тащемта там будет cost-cost-cost в разных временах
https://dictionary.cambridge.org/dictionary/english-russian/cost",0
481846,"Является ли длительная температура (37-37,5) неясного генеза противопоказанием к вакцине? На фоне температуры есть отклонения в оак и иммунограме, но официального диагноза нет.",0
127880,"Здравствуйте Екатерина! Мы с женой купили дом за1750000. Я не работаю официально,а жена официально,может ли она получить налоговый вычет и как правильно это сделать?",0
661879,Здравствуйте. Скажите пожалуйста если отец живёт далеко и не может приехать и дать отказ от детей сам. То он может оформить всё документы у нотариуса и отправить их мне?,0
619908,"В коммодити тоже можно инвестировать с помощью ETF, правда не знаю, доступны ли они у российских брокеров",0
433298,"У нас добываются нефть, газ, алмазы, но местное население теряет работу, живут в деревянных бараках",0
1945731,"Базары сожителей и партнеров. 
А если жена ребенка рожает и ее доход обнуляется на несколько лет и карьера идет прахом. Искать нового?
Пипец в головах.",0
1715415,"Студентами два-три раза в год ездили сдавать кровь на Беговую, правда деньги давали не всегда. Пару раз был паёк, водичка какая то витаминная, что-то ещё, не помню уже. А так и дело хорошее сделали, и копеечку получили.",0
1454403,Что у вас слева от раковины? Стена? Вы шкаф и холодильник засунули ЗА стену в туалет?!,0
1215264,"Я тоже жила на лайте, когда первого ребенка в 24 родила.И рассуждала примерно как вы(автор). А потом был токсикоз, второй ребенок, и тут-то мой ""расслабон""закончился! Дети совершенно разные!",0
462177,Какие В2В услуги будут востребованы в ближайшем будущем? Какой бизнес для бизнеса вы бы запустили сейчас?,0
396209,"Хлеб по 15-20 копеек беляши по 6 копеек кино 30-50 копеек и т.д., и т.п......",0
1558258,"Спасибо автору за статью! Прочитала от начала и до конца с улыбкой на лице) Сама выпускница данного колледжа (2017 год выпуска). От колледжа только приятные воспоминания остались, что аж вернулась в него, но теперь преподавать))",0
463417,"вот тоже думаю взять, а то реально бОльшую часть времени таскаешь пустой рюкзак.
хотя в такую сумочку вряд ли влезут пара банок пива",0
811201,Все супер. Молодец. Но один вопрос. Сколько вы заработали чистыми на бирже? За полгода так понимаю?. А то продали за 7.5 а купили за 8.5 и плюс еще ремонт.... Несходится.,0
352937,"Думал поначалу, что всех забаню, ну вот, кровавые репрессии отменяются:( Надо, кстати, посмотреть молчание ягнят.

Способ бросить курить доставляет как в первый раз)",0
669318,Группа картины по дружеским ценам не одобрила мне ни одну картину...............,0
1587163,"Очень классная статья, мне в сердце Тромсё запал, я бы там даже пожила.
А вы не хотели бы потом продолжить образование на phd?",0
135169,"108к вышло.
Хорошо что у меня нет четырем которую надо тюнинговать",0
1826480,"Хочешь конкурировать со всей страной идя в топовые места - конкурируй, что сказать.

И вышка для программиста в Москве - ну такое себе.",0
1929932,"""В каком необычном месте вы бы хотели позаниматься фитнесом?""
В большом зале без людей и персонала)",0
1590352,"История журналистики-мой первый ""автомат"" в институте. Я просто не смогла бы себя заставить учить этот массив информации, поэтому пришлось попотеть в первом семестре",0
1687052,"Я то думал после 40 людям уже лень что либо делать, т.к. они либо закрывают свои потребности, либо их и не имели и зарплата снижается, поэтому указал примерно 35, а тут вообще какая-то странная информация получается",0
1427938,"Тоже установила приложение для йоги. Даже занималась неделю, потом забросила. Надо возвращаться) Спасибо за напоминание и удачи!",0
903141,"Привет,  вы большая умница! За 20 лет работы в корпорациях я имею меньше жизненного опыта чем вы после одного данного проекта. Надеюсь, что эти знания не пропадут даром и со временем вы сделаете уникальный проект который будет приятен и душе и карману.",0
1074430,"Выпил - веди себя прилично. учись коммуникации с разными людьми. Не спеши, больше вкладывай в свое  развитие, учи английский.",0
1903810,"По поводу коробок для посылок автор не прав. Совсем не обязательно покупать их на почте. Я всегда беру подходящую по размеру коробку в ближайшем магазине, ни разу почта не отказывала в отправке. Главное, чтобы коробка была чистая - без надписей и рисунков .",0
